"Year","Trips_NTWL.C","Trips_NTWL.O","Trips_NTWL.W","Trips_TWL.C","Trips_TWL.O","Trips_TWL.W","Ages_NTWL.C","Ages_NTWL.O","Ages_NTWL.W","Ages_TWL.C","Ages_TWL.O","Ages_TWL.W"
1973,0,0,0,0,1,0,0,0,0,0,51,0
1974,0,0,0,0,4,0,0,0,0,0,359,0
1975,0,0,0,0,0,3,0,0,0,0,0,334
1976,0,0,0,0,0,3,0,0,0,0,0,188
1977,0,0,0,0,5,1,0,0,0,0,444,99
1978,0,0,0,0,7,3,0,0,0,0,664,249
1979,0,0,0,0,4,8,0,0,0,0,396,797
1980,1,0,0,78,19,17,8,0,0,255,878,1508
1981,1,0,0,47,7,18,5,0,0,161,603,1649
1982,2,0,0,51,20,13,12,0,0,210,1358,1267
1983,2,0,0,116,29,17,6,0,0,396,2724,1524
1984,1,0,0,78,19,17,1,0,0,363,1856,1326
1985,3,0,0,76,24,17,29,0,0,401,1204,1647
1986,0,0,0,0,16,17,0,0,0,0,807,1501
1987,0,0,0,1,29,24,0,0,0,1,1448,1243
1988,0,0,0,0,19,19,0,0,0,0,899,948
1989,0,0,0,0,23,18,0,0,0,0,1094,887
1990,0,0,0,0,20,17,0,0,0,0,998,850
1991,0,0,0,0,22,20,0,0,0,0,850,984
1992,0,0,0,0,32,20,0,0,0,0,1280,1000
1993,0,0,0,0,22,17,0,0,0,0,1110,802
1994,0,0,0,0,4,15,0,0,0,0,200,749
1995,0,0,0,0,14,22,0,0,0,0,794,1100
1996,0,0,0,0,18,15,0,0,0,0,1093,741
1997,0,1,0,0,28,17,0,17,0,0,1537,846
1998,0,4,0,0,28,17,0,87,0,0,1554,819
1999,0,0,0,0,28,15,0,0,0,0,1516,737
2000,0,0,0,0,16,6,0,0,0,0,491,227
2001,0,5,0,1,24,13,0,39,0,28,733,425
2002,3,0,1,7,51,30,22,0,8,76,1008,634
2003,1,0,0,4,32,21,1,0,0,43,241,271
2004,0,0,3,5,47,29,0,0,22,12,333,318
2005,0,0,0,6,45,31,0,0,0,54,342,411
2006,0,0,1,5,47,26,0,0,35,32,240,453
2007,0,0,2,2,38,44,0,0,6,21,108,351
2008,0,0,0,0,58,18,0,0,0,0,195,304
2009,0,0,0,3,81,23,0,0,0,21,485,396
2010,0,0,1,1,31,13,0,0,3,5,340,307
2011,0,0,0,0,41,19,0,0,0,0,390,343
2012,0,0,0,0,58,27,0,0,0,0,493,436
2013,0,0,1,12,154,22,0,0,10,147,1153,334
2014,0,0,0,11,146,6,0,0,0,76,1319,81
2015,0,0,0,10,133,22,0,0,0,150,1607,284
2016,0,0,0,1,114,29,0,0,0,1,1237,383
2017,0,6,8,8,165,59,0,14,52,132,1194,866
2018,0,4,13,11,148,20,0,9,81,190,856,603
2019,1,13,10,13,131,17,6,32,40,306,708,268
2020,12,53,10,5,76,8,119,238,78,79,841,88
2021,14,10,16,12,74,15,241,42,108,246,932,287
2022,11,8,17,20,92,17,189,44,108,295,710,391
