"year","month","fleet","sex","partition","ageErr","agelow","agehigh","InputN","M.999","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10","M11","M12","M13","M14","M15","M16","M17","M18","M19","M20","M21","M22","M23","M24","M25","M26","M27","M28","M29","M30","M31","M32","M33","M34","M35","M.999.1","M1.1","M2.1","M3.1","M4.1","M5.1","M6.1","M7.1","M8.1","M9.1","M10.1","M11.1","M12.1","M13.1","M14.1","M15.1","M16.1","M17.1","M18.1","M19.1","M20.1","M21.1","M22.1","M23.1","M24.1","M25.1","M26.1","M27.1","M28.1","M29.1","M30.1","M31.1","M32.1","M33.1","M34.1","M35.1"
2003,"7","Enter Fleet",2,0,"1","Enter","Enter",46,0,0,0,0,0,0,1.52751877383348,0.72891242895294,7.01754679647926,8.29441299197264,7.92719468875445,1.60402026201341,2.29900642924979,3.22812844214847,1.36335584296158,2.00957300898042,0.969967446412688,0.494609183972966,0,0.494609183972966,0.545052178367321,0,0.937882577190615,0,0,0,0,0,0,0,0,0,0,0,0,0.455158744772956,0,0,0,0,0,0,1.52751877383348,0.72891242895294,7.01754679647926,8.29441299197264,7.92719468875445,1.60402026201341,2.29900642924979,3.22812844214847,1.36335584296158,2.00957300898042,0.969967446412688,0.494609183972966,0,0.494609183972966,0.545052178367321,0,0.937882577190615,0,0,0,0,0,0,0,0,0,0,0,0,0.455158744772956
2004,"7","Enter Fleet",2,0,"1","Enter","Enter",38,0,0,0,0,0,0,0,0.873686670721231,0.311895239502451,0.40597293772001,8.59932880173974,0.335322431019372,0.440246734443192,0.279355423883671,0.518737049328627,3.71855937160525,3.85388368417858,0,0,3.89513029853436,3.58323505903191,0,3.58323505903191,3.58323505903191,3.58323505903191,0,3.58323505903191,0,0,0,0,0,0,0,0,17.9161752951596,0,0,0,0,0,0,0,0.873686670721231,0.311895239502451,0.40597293772001,8.59932880173974,0.335322431019372,0.440246734443192,0.279355423883671,0.518737049328627,3.71855937160525,3.85388368417858,0,0,3.89513029853436,3.58323505903191,0,3.58323505903191,3.58323505903191,3.58323505903191,0,3.58323505903191,0,0,0,0,0,0,0,0,17.9161752951596
2005,"7","Enter Fleet",2,0,"1","Enter","Enter",40,0,0,0,0,0,0,0,4.14833112239452,12.1984355701935,9.83013890794871,5.71779272067456,9.43689675678148,1.19299208636384,4.14878855801046,1.19299208636384,1.19299208636384,0,1.39883811353552,0,1.41774545232758,0,0,0,0,1.68351554518701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14833112239452,12.1984355701935,9.83013890794871,5.71779272067456,9.43689675678148,1.19299208636384,4.14878855801046,1.19299208636384,1.19299208636384,0,1.39883811353552,0,1.41774545232758,0,0,0,0,1.68351554518701,0,0,0,0,0,0,0,0,0,0,0
2006,"7","Enter Fleet",2,0,"1","Enter","Enter",16,0,0,0,0,0,0,0,2.70931102362522,4.15879945608842,3.41486752283654,1.41111568860378,2.78605382116289,5.09458703809388,3.49161301055536,5.41862204725045,2.70931102362522,0.793081542780148,0.038372743859406,11.5428005937122,0,2.70931102362522,0.743929243070726,2.70931102362522,0,0,0.0233077294446083,0.705559189392465,4.12042671222901,0,0,0,0,0,0,0,0.705559189392465,0,0,0,0,0,0,0,2.70931102362522,4.15879945608842,3.41486752283654,1.41111568860378,2.78605382116289,5.09458703809388,3.49161301055536,5.41862204725045,2.70931102362522,0.793081542780148,0.038372743859406,11.5428005937122,0,2.70931102362522,0.743929243070726,2.70931102362522,0,0,0.0233077294446083,0.705559189392465,4.12042671222901,0,0,0,0,0,0,0,0.705559189392465
2007,"7","Enter Fleet",2,0,"1","Enter","Enter",43,0,0,0,0.260121992983613,11.339771108558,2.58223424287431,1.28162427795624,1.49071997702913,1.47780970989509,3.62189046090377,6.79481462917699,2.92932876374971,8.12757369068374,3.78813275226282,3.66192313798327,2.68088748864927,0.532792620968661,2.63524951351437,1.6899069556686,1.17895691550935,0.456271261709196,1.40164998276823,0,0,0,0.280337229196298,0,0,0,0,0,0,0,0.456271261709196,0,0,0,0,0,0.260121992983613,11.339771108558,2.58223424287431,1.28162427795624,1.49071997702913,1.47780970989509,3.62189046090377,6.79481462917699,2.92932876374971,8.12757369068374,3.78813275226282,3.66192313798327,2.68088748864927,0.532792620968661,2.63524951351437,1.6899069556686,1.17895691550935,0.456271261709196,1.40164998276823,0,0,0,0.280337229196298,0,0,0,0,0,0,0,0.456271261709196,0,0
2008,"7","Enter Fleet",2,0,"1","Enter","Enter",19,0,0,0,0,0,8.73721796479352,0.737952887467459,9.9012035317714,5.19578056190899,6.22739566188494,3.34830923674291,1.83013390091662,2.90493913298303,2.16882738791374,1.09214265631587,0,0.368496979567539,0,0,0,0,0,0.379620548223163,1.47180156167233,0,0,0,1.09214265631587,1.47180156167233,0,0,0,0,1.09214265631587,0,1.51852055002595,0,0,0,0,0,8.73721796479352,0.737952887467459,9.9012035317714,5.19578056190899,6.22739566188494,3.34830923674291,1.83013390091662,2.90493913298303,2.16882738791374,1.09214265631587,0,0.368496979567539,0,0,0,0,0,0.379620548223163,1.47180156167233,0,0,0,1.09214265631587,1.47180156167233,0,0,0,0,1.09214265631587,0,1.51852055002595
2009,"7","Enter Fleet",2,0,"1","Enter","Enter",30,0,0,0,0.797539125222764,0,4.26172754371581,7.01808370101454,5.34672955836158,6.71819215110044,5.18184934458862,7.94642445479275,7.12312592839087,2.95471356949125,3.03860702780612,2.02577142891508,0.928340753778213,0,1.01283559889104,1.04821718883746,0,1.01283559889104,0.979859556136451,1.07157104282475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797539125222764,0,4.26172754371581,7.01808370101454,5.34672955836158,6.71819215110044,5.18184934458862,7.94642445479275,7.12312592839087,2.95471356949125,3.03860702780612,2.02577142891508,0.928340753778213,0,1.01283559889104,1.04821718883746,0,1.01283559889104,0.979859556136451,1.07157104282475,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,"7","Enter Fleet",2,0,"1","Enter","Enter",57,0,0,0,0,0,0.468393845205139,0.268778083952695,2.28810931167029,1.68295528453761,2.26319197156457,2.63480093587509,5.07466320442209,1.96550390635122,0.580464837950103,3.69417085798925,1.61470556552992,0,1.74512641109309,1.99397388226011,1.61470556552992,3.22941113105983,4.97199528900937,0,1.61470556552992,0.251503799772142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.468393845205139,0.268778083952695,2.28810931167029,1.68295528453761,2.26319197156457,2.63480093587509,5.07466320442209,1.96550390635122,0.580464837950103,3.69417085798925,1.61470556552992,0,1.74512641109309,1.99397388226011,1.61470556552992,3.22941113105983,4.97199528900937,0,1.61470556552992,0.251503799772142,0,0,0,0,0,0,0,0,0,0,0
2011,"7","Enter Fleet",2,0,"1","Enter","Enter",57,0,0,0,0,0,0.349563725453944,0.214782940339363,1.75561018745173,1.78228637654946,2.93971603857007,1.57444981020288,5.66103068342812,1.80927951046816,4.36744680873542,4.45315397073754,2.52499374033979,3.6159970503002,1.0888375203505,3.02798517120831,0.842095977230684,1.92884694417651,2.41871157704348,0.203901168152962,0.745691927521058,3.17758312670292,2.66017070648057,2.11840635918089,0.541790759368097,0.541790759368097,0.174240415324493,1.05920317959044,0,0,0,0,5.51045548140221,0,0,0,0,0,0.349563725453944,0.214782940339363,1.75561018745173,1.78228637654946,2.93971603857007,1.57444981020288,5.66103068342812,1.80927951046816,4.36744680873542,4.45315397073754,2.52499374033979,3.6159970503002,1.0888375203505,3.02798517120831,0.842095977230684,1.92884694417651,2.41871157704348,0.203901168152962,0.745691927521058,3.17758312670292,2.66017070648057,2.11840635918089,0.541790759368097,0.541790759368097,0.174240415324493,1.05920317959044,0,0,0,0,5.51045548140221
2012,"7","Enter Fleet",2,0,"1","Enter","Enter",60,0,0.119878764202776,3.62457433514681,1.97044801363164,0.894514689938806,0.938404113387999,2.35432830979396,4.34233660122063,2.18377495703762,4.03839050924467,3.63900126427238,7.23076560669689,1.74435098374187,2.04243613576056,2.55304798746029,2.31830607113355,1.40996181710328,3.58199235214962,1.15914740004759,1.80769421943382,2.1591702802555,2.31830607113355,0.648546819386231,1.02122370339947,1.80769421943382,0,0.648546819386231,0.648546819386231,0.510611851699735,0.648546819386231,0.510611851699735,0,0,0,1.29708236773408,1.94564045815869,0,0.119878764202776,3.62457433514681,1.97044801363164,0.894514689938806,0.938404113387999,2.35432830979396,4.34233660122063,2.18377495703762,4.03839050924467,3.63900126427238,7.23076560669689,1.74435098374187,2.04243613576056,2.55304798746029,2.31830607113355,1.40996181710328,3.58199235214962,1.15914740004759,1.80769421943382,2.1591702802555,2.31830607113355,0.648546819386231,1.02122370339947,1.80769421943382,0,0.648546819386231,0.648546819386231,0.510611851699735,0.648546819386231,0.510611851699735,0,0,0,1.29708236773408,1.94564045815869
